metabolite_or_isotopologue	sgLDHAB_T0-1	sgLDHAB_T0-2	sgLDHAB_T0-3	Cont_T0-1	Cont_T0-2	Cont_T0-3	sgLDHAB_T24-1	sgLDHAB_T24-2	sgLDHAB_T24-3	Cont_T24-1	Cont_T24-2	Cont_T24-3	sgLDHAB_T48-1	sgLDHAB_T48-2	sgLDHAB_T48-3	Cont_T48-1	Cont_T48-2	Cont_T48-3
UDP_m+1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UDP_m+2	79157.5545	117999.7556	156515.9405	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1370.617056	0.0	1057.306706	0.0	0.0	0.0
UDP_m+3	59479.93883	64440.71216	73664.9217	36943.58775	30521.90441	35640.1554	44215.34463	40329.96184	42422.23862	38086.37246	26298.63799	39389.09007	13984.77109	16395.26124	14287.0671	14338.68488	10440.35239	10069.16155
UDP_m+4	46083.93278	50360.66006	56509.80761	45430.9224	32833.82391	37206.70598	76702.42551	70250.32214	63265.54561	141917.1564	101491.2188	128888.4301	38891.34076	41766.28937	41593.90616	29766.56293	26594.27453	21668.41542
UDP_m+5	453762.4274	535860.7154	623554.1288	1322122.403	964708.2202	1150774.662	1745914.326	1704653.486	1532884.542	5277785.051	3652007.909	4589470.513	1155838.867	1228834.67	1241963.921	985938.9216	727956.1831	667394.9291
UDP_m+6	2173.359063	1845.758769	1369.958363	64550.62626	60538.44654	72019.29491	0.0	0.0	0.0	775136.5537	512788.0895	686220.4721	0.0	0.0	0.0	93790.95788	74169.29108	72399.67693
UDP_m+7	32790.27882	40181.30997	42935.73685	921257.3712	725455.5956	824816.3891	90194.06526	73204.11366	57871.49425	9235999.325	6334586.036	7957577.039	0.0	0.0	0.0	1771287.992	1383024.619	1304278.586
UDP_m+8	17735.71759	20003.75115	23200.65159	370847.9914	276349.1267	335587.1805	67847.13697	57337.86527	46379.87892	4079647.592	2790375.966	3523308.87	13795.61408	11692.7946	10403.15448	700809.1254	524805.4398	505899.1979
UDP_m+9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UMP_m+0	22260300.95	22041812.47	23781050.21	31503606.09	27408906.63	30562157.0	10372872.76	12442516.1	11884542.32	10474613.73	8320051.111	9434598.5	2816563.507	3094979.387	3298921.859	4909290.262	3703942.253	3539641.337
UMP_m+1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UMP_m+2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UMP_m+3	0.0	0.0	0.0	0.0	0.0	0.0	65206.37354	79602.01351	66836.9321	38755.08642	28303.15309	34930.73591	31123.23732	31773.02449	34382.59584	14251.26202	10771.7066	9071.07422
UMP_m+4	13479.54323	14580.39116	18965.44077	9320.631829	3999.049073	10752.9742	122439.1732	136346.5235	129599.3541	139349.2975	104401.1603	123621.47	77420.44603	87626.94747	89156.80369	49982.70129	35997.79659	37101.09014
UMP_m+5	131350.5781	135998.1745	154032.7037	253037.9362	243457.1142	276022.5664	2012705.461	2141400.902	1964687.518	5028420.313	3619071.458	4336630.279	1929775.978	2044609.167	2073051.152	1586441.78	1136861.258	1126736.521
UMP_m+6	0.0	0.0	1051.786882	21857.83084	16867.45974	20663.11573	183783.4997	219297.3914	217804.8985	766423.5776	515293.7505	632393.0845	0.0	0.0	0.0	183458.5392	125988.6281	124277.9325
UMP_m+7	8995.848514	8548.155709	10531.95149	209488.1217	192644.1979	219491.925	959710.4848	976372.5458	929602.5413	9080582.032	6589559.588	7830447.677	110534.7475	72871.1046	62848.49651	3000906.25	2211714.082	2178018.792
