	Control_cell_T0-1	Control_cell_T0-2	Control_cell_T0-3	Control_cell_T1h-1	Control_cell_T1h-2	Control_cell_T1h-3	Control_cell_T2h-1	Control_cell_T2h-2	Control_cell_T2h-3	Control_cell_T4h-1	Control_cell_T4h-2	Control_cell_T4h-3	Control_cell_T6h-1	Control_cell_T6h-2	Control_cell_T6h-3	Control_cell_T24h-1	Control_cell_T24h-2	Control_cell_T24h-3	L-Cycloserine_cell_T0-1	L-Cycloserine_cell_T0-2	L-Cycloserine_cell_T0-3	L-Cycloserine_cell_T1h-1	L-Cycloserine_cell_T1h-2	L-Cycloserine_cell_T1h-3	L-Cycloserine_cell_T2h-1	L-Cycloserine_cell_T2h-2	L-Cycloserine_cell_T2h-3	L-Cycloserine_cell_T4h-1	L-Cycloserine_cell_T4h-2	L-Cycloserine_cell_T4h-3	L-Cycloserine_cell_T6h-1	L-Cycloserine_cell_T6h-2	L-Cycloserine_cell_T6h-3	L-Cycloserine_cell_T24h-1	L-Cycloserine_cell_T24h-2	L-Cycloserine_cell_T24h-3	Control_med_T0-1	Control_med_T0-2	Control_med_T0-3	Control_med_T1h-1	Control_med_T1h-2	Control_med_T1h-3	Control_med_T2h-1	Control_med_T2h-2	Control_med_T2h-3	Control_med_T4h-1	Control_med_T4h-2	Control_med_T4h-3	Control_med_T6h-1	Control_med_T6h-2	Control_med_T6h-3	Control_med_T24h-1	Control_med_T24h-2	Control_med_T24h-3	L-Cycloserine_med_T0-1	L-Cycloserine_med_T0-2	L-Cycloserine_med_T0-3	L-Cycloserine_med_T1h-1	L-Cycloserine_med_T1h-2	L-Cycloserine_med_T1h-3	L-Cycloserine_med_T2h-1	L-Cycloserine_med_T2h-2	L-Cycloserine_med_T2h-3	L-Cycloserine_med_T4h-1	L-Cycloserine_med_T4h-2	L-Cycloserine_med_T4h-3	L-Cycloserine_med_T6h-1	L-Cycloserine_med_T6h-2	L-Cycloserine_med_T6h-3	L-Cycloserine_med_T24h-1	L-Cycloserine_med_T24h-2	L-Cycloserine_med_T24h-3
Hexose-phosphate_C13-label-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hexose-phosphate_C13-label-6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pyruvic_acid_PARENT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0005	1.0005	1.0006	0.9986	0.9983	0.9978	0.9974	0.9982	0.9969	0.996	0.9957	0.9964	0.9949	0.9942	0.9942	0.9922	0.9923	0.9909	1.0003	1.0006	1.0007	0.9976	0.9982	0.9978	0.997	0.9964	0.9971	0.9954	0.9964	0.9953	0.9948	0.9945	0.9935	0.9919	0.9935	0.9919
Pyruvic_acid_C13-label-1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0008	-0.0005	-0.0007	-0.0009	-0.0007	-0.0006	-0.0003	-0.0014	-0.0009	-0.0004	-0.0005	-0.0007	-0.0011	-0.0002	-0.0003	-0.0004	-0.0006	-0.0002	-0.0005	-0.0008	-0.0012	-0.0003	-0.0009	-0.0007	-0.0008	-0.0001	-0.0008	-0.0003	-0.0011	-0.0007	-0.0011	-0.0003	0.0001	-0.0007	-0.0014	-0.0003
Pyruvic_acid_C13-label-2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0002	-0.0003	-0.0003	-0.0002	-0.0003	-0.0002	-0.0002	-0.0002	-0.0002	-0.0001	-0.0002	-0.0002	-0.0002	-0.0002	-0.0001	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0001	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0001	-0.0002	-0.0002	-0.0001	-0.0002	-0.0001	-0.0001	-0.0001
Pyruvic_acid_C13-label-3	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0004	0.0003	0.0004	0.0025	0.0028	0.003	0.0031	0.0033	0.0042	0.0045	0.005	0.0045	0.0063	0.0063	0.0063	0.0084	0.0085	0.0095	0.0005	0.0005	0.0006	0.0029	0.0028	0.003	0.004	0.0039	0.0038	0.0051	0.0048	0.0056	0.0064	0.006	0.0066	0.0089	0.008	0.0086
Fumaric_acid_PARENT	1.0063	1.0073	1.0098	1.0047	1.0028	1.0057	1.0042	0.9979	1.0055	1.0026	0.9945	0.9976	0.9777	0.9785	0.9846	0.9152	0.9442	0.9489	1.005	1.0041	1.0044	1.006	1.0061	1.0076	1.0031	1.0023	0.9986	1.0048	1.0011	1.0023	0.9881	0.9848	0.9868	0.9616	0.9543	0.9508	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fumaric_acid_C13-label-1	-0.0064	-0.0075	-0.0097	-0.0058	-0.004	-0.0066	-0.005	-0.0025	-0.008	-0.0066	-0.0034	-0.0036	-0.0019	-0.0004	-0.0013	0.0073	0.0067	0.0027	-0.0048	-0.0045	-0.0038	-0.0065	-0.0068	-0.0082	-0.0032	-0.0047	-0.0018	-0.0071	-0.0046	-0.0058	-0.0043	-0.0033	-0.0055	0.0024	0.0002	0.0007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fumaric_acid_C13-label-2	-0.0005	-0.0001	-0.0004	0.0005	0.0008	0.0006	-0.0003	0.0043	0.0023	0.0041	0.0065	0.005	0.018	0.0158	0.0139	0.0363	0.0214	0.0208	-0.0006	0.0	-0.0006	0.0001	0.0004	0.0002	0.0001	0.0009	0.0021	0.0014	0.0026	0.0027	0.0133	0.0157	0.0147	0.0151	0.0218	0.0224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fumaric_acid_C13-label-3	0.0004	0.0	0.0003	0.0007	0.0003	0.0	0.0006	-0.0001	-0.0001	-0.0001	0.0024	0.0002	0.0055	0.005	0.0023	0.0247	0.0185	0.0168	0.0	0.0	0.0	0.0003	0.0	0.0	0.0	0.0013	0.0003	0.0	0.0009	-0.0001	0.0025	0.0023	0.0033	0.0117	0.0137	0.0162	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
